Term;Abbreviation
Acrylonitrile/butadiene plastics;AB
Acrylonitrile-butadiene-acrylate plastics;ABA
Acrylonitrile-butadiene-styrene plastics;ABS
Acrylonitrile-chlorinated polyethylene-styrene plastics;ACPES
Acrylonitrile-ethylene-styrene plastics;AES
Acrylonitrile-methyl acrylate-acrylonitrile-butadiene rubber;AMAB
Acrylonitrile-methyl methacrylate plastics;AMMA
Acrylonitrile-styrene-acrylate plastics;ASA
Acrylonitrile/ethylene-propylene-diene/styrene;AEPDMS
Aromatic polyester;ARP
Carboxymethyl cellulose;CMC
Casein;CS
Caseine-formaldehyde resin;CSF
Cellulose acetate;CA
Cellulose acetate-butyrate;CAB
Cellulose acetate propionate;CAP
Cellulose formaldehyde;CEF
Cellulose nitrate;CN
Cellulose plastics;CE
Cellulose propionate;CP
Cellulose triacetate;CTA
Chlorinated poly(vinyl chloride);CPVC
Chlorinated polyethylene;CPE
Cresol-formaldehyde resin;CF
Epoxy;EP
Ethyl cellulose;EC
Ethylene acrylate;EA
Ethylene-chlorotrifluoroethylene copolymer;E-CTFE
Ethylene-ethyl acrylate plastics;EEA
Ethylene-methacrylic acid plastics;EMA
Ethylene-propylene polymer;EPM
Ethylene-propylene-diene plastics;EPD
Ethylene-tetrafluoroethylene copolymer;ETFE
Ethylene-vinyl acetate plastics;EVA
Ethylene-vinyl alcohol copolymer;EVOH
Fluorocarbon perfluoromethoxy;MPA
Furan formaldehyde resin;FF
General purpose polystyrene;GPPS
High density polyethylene plastics;HDPE
High impact-resistant polystyrene;HIPS
Impact resistant polystyrene;IPS
Linear low density polyethylene plastics;LLDPE
Linear medium density polyethylene plastics;LMDPE
Liquid crystal polymer;LCP
Low density polyethylene plastics;LDPE
Medium density polyethylene plastics;MDPE
Melamine-formaldehyde resin;MF
Melamine/phenol-formaldehyde resin;MPF
Methacrylate-butadiene-styrene plastics;MBS
Methyl cellulose;MC
Methyl methacrylate-acrylonitrile-butadiene-styrene resin;MMABS
Nylon;PA
Perfluoro(alkoxy alkane);PFA
Perfluoro(ethylene-propylene) copolymer;FEP
Perfluoromethoxy resin;MFA
Phenol-formaldehyde resin;PF
Phenol-furfural resin;PFF
Poly(acrylic acid);PAA
Poly(allyl diglycol carbonate);PADC
Poly(aryl ether ketone);PAEK
Poly(butyl acrylate);PBA
Poly(butylene adipate-co-succinate);PBAS
Poly(butylene adipate-co-terephthalate);PBAT
Poly(butylene succinate);PBS
Poly(butylene terephthalate);PBT
Poly(cyclohexylenedimethylene cyclohexandicarboxylate);PCCE
Poly(cyclohexylenedimethylene terephthalate);PCT
Poly(cyclohexylenedimethylene terephthalate);PCTA
Poly(cyclohexylenedimethylene terephthalate);PCTG
glycol;PCTG
Poly(diallyl phthalate);PDAP
Poly(ester urethane);PAUR
Poly(ether block amide);PEBA
Poly(ether sulfone);PES
Poly(ether urethane);PEUR
Poly(ethylene furanoate);PEF
Poly(ethylene oxide);PEOX
Poly(ethylene terephthalate);PET6
Poly(ethylene terephthalate) acid comonomer;PETA
Poly(ethylene terephthalate) glycol comonomer;PETG
Poly(lactic acid);PLA
Polylactic acid;PLA
Poly(methyl methacrylate);PMMA
Poly(methyl methacrylimide);PMMI
Poly(methyl-Î±-chloroacrylate);PMCA
Poly(phenyl sulfone);PPSU
Poly(phenylene ether);PPE
Poly(phenylene oxide);PPE
Poly(phenylene sulfide);PPS
Poly(phenylene sulfone);PPSU
Poly(propylene oxide);PPOX
Poly(vinyl acetate);PVAC
Poly(vinyl alcohol);PVOH
Poly(vinyl butyral);PVB
Poly(vinyl carbazole);PVK
Poly(vinyl chloride);PVC
Poly(vinyl chloride-acetate);PVCA
Poly(vinyl fluoride);PVF
Poly(vinyl formal);PVFM
Poly(vinyl pyrrolidone);PVP
Polyvinylpyrrolidone/1-triacontene;PVP/TA
Poly(vinylidene chloride);PVDC
Poly(vinylidene fluoride);PVDF
Poly(Îµ-caprolactone);PCL
Poly-4-methylpentene-1;PMP
Poly-Î±-methylstyrene;PMS
Poly-p-oxybenzoate;POB
Polyacrylonitrile;PAN
Polyamide;PA
Polyamide 10;PA10
Polyamide 1010;PA1010
Polyamide 11;PA11
Polyamide 12;PA12
Polyamide 1212;PA1212
Polyamide 46;PA46
Polyamide 410;PA410
Polyamide 6;PA6
Polyamide 610;PA610
Polyamide 612;PA612
Polyamide 66;PA66
Polyamide 69;PA69
Polyamide 6I;PA6I
Polyamide 6T;PA6T
Polyamide-imide;PAI
Polyarylate;PAR
Polyaryl amide;PARA
Polyarylether;PAE
Polyarylsulfone;PAS
Polybutadiene-acrylonitrile;PBAN
Polybutadiene-styrene;PBS
Polybutene-1;PB
Polycarbonate;PC
Polychlorotrifluoroethylene;PCTFE
Polyester alkyd;PAK
Polyacrylate;PAK
Polyetheretherketone;PEEK
Polyetheretherketoneketone;PEEKK
Polyetherketonetherketoneketone;PEKEKK
Polyetherketoneketone;PEKK
Polyetherimide;PEI
Polyetherketone;PEK
Polyethylene;PE
Poly(ethylene naphthalate);PEN
Polyhydroxy butyrate;PHB
Polyimide;PI
Polyimidesulfone;PISU
Polyisobutylene;PIB
Polyisocyanurate;PIR
Polyketone;PK
Polymethacrylimide;PMI
Polyoxymethylene;POM
Polyacetal;POM
Polyphenylene;PPH
Polyphthalamide;PPA
Polypropylene;PP
Homopolymer polypropylene;HPP
Random copolymer polypropylene;RPP
Impact copolymer polypropylene;CPP
Polystyrene;PS
Polysulfone;PSU
Polytetrafluoroethylene;PTFE
Polyurethane;PUR
Saturated polyester plastic;SP
Silicone plastics;SI
Styrene-Î±-methylstyrene plastic;SMS
Styrene-acrylonitrile plastic;SAN
Styrene-butadiene plastic;SB
Styrene-butadiene-styrene block copolymer;SBS
Styrene-ethylene/butylene-styrene block copolymer;SEBS
Styrene-ethylene/propylene-styrene block copolymer;SEPS
Styrene-isoprene-styrene block copolymer;SIS
Styrene-maleic anhydride plastics;S/MA
Styrene-rubber plastics;SRP
Thermoplastic elastomer;TPE
Thermoplastic elastomer ether-ester;TEEE
Thermoplastic elastomer fully crosslinked elastomer alloy;FCEA
Thermoplastic elastomer highly crosslinked thermoplastic vulcanizate;HCTPV
Thermoplastic elastomer olefinic;TEO
Thermoplastic elastomer polyether block amide;PEBA
Thermoplastic elastomer styrenic;TES
Thermoplastic elastomer styrenic saturated;TESS
Thermoplastic elastomer styrenic unsaturated;TESU
Thermoplastic polyester;TPES
Copolyester [poly(aryl terephthalate)];ARP
Polyarylate [poly(aryl terephthalate)]â€”liquid crystal polymer;PAT
Thermoplastic polyurethane;TPU
Reinforced thermoplastic polyurethane;RTPU
Thermoplastic starch;TPS
Thermoset polyurethane;TSPU
Ultra-high molecular weight polyethylene;UHMWPE
Unsaturated polyester;UP
Urea-formaldehyde resin;UF
Vinyl chloride-ethylene resin;VCE
Vinyl chloride-ethylene-methyl acrylate resin;VCEMA
Vinyl chloride-ethylene-vinyl acetate resin;VCEVAC
Vinyl chloride-methyl acrylate resin;VCMA
Vinyl chloride-methyl methacrylate resin;VCMMA
Vinyl chloride-octyl acrylate resin;VCOA
Vinyl chloride-vinyl acetate resin;VCVAC
Vinyl chloride-vinylidene chloride resin;VCVDC
Vinylidene fluoride;VDF
Acrylonitrile-butadiene-acrylate plastics + poly(methylmethacrylate);ABA+PMMA
Acrylonitrile-butadiene-acrylate plastics+poly(vinylchloride);ABA+PVC
Acrylonitrile-butadiene-acrylate plastics+polycarbonate;ABA+PC
Acrylonitrile-butadiene-styrene plastics+poly(vinylchloride);ABS+PVC
Acrylonitrile-butadiene-styrene plastics+polyphenylene sulfone;ABS+PPSU
Acrylonitrile-butadiene-styrene plastics+polytetrafluoroethylene;ABS+PTFE
Acrylonitrile-butadiene-styrene plastics+styrene maleic anhydride;ABS+SMA
Acrylonitrile-butadiene-styrene plastics+thermoplastic polyurethane;ABS+TPU
Acrylonitrile-butadiene-styrene plastics+polyamide;ABS+PA
Acrylonitrile-butadiene-styrene plastics+polycarbonate;ABS+PC
Acrylonitrile-styrene-acrylate plastics+poly(methyl methacrylate);ASA+PMMA
Acrylonitrile-styrene-acrylate plastics+polycarbonate;ASA+PC
Fully crosslinked elastomeric alloy;FCEA
Poly(butylene terephthalate)+poly(ethyleneterephthalate);PBT+PET6
Poly(butylene terephthalate)+rubber;PBT+RBR
Poly(ethylene naphthalate);PEN
Poly(ethylene terephthalate)+poly(methylmethacrylate);PET6+PMMA
Poly(ethylene terephthalate)+poly(phenylene sulfone);PET6+PPSU
Poly(ethylene terephthalate)+rubber;PET6+RBR
Poly(phenylene ether)+impact resistant polystyrene;PPE+IPS
Poly(phenylene sulfide)+polytetrafluoroethylene;PPS+PTFE
Poly(vinyl chloride)+chlorinated polyethylene;PVC+CPE
Poly(vinyl chloride)+nitrile-butadiene rubber;PVC+NBR
Poly(vinyl chloride)+poly(methyl methacrylate);PVC+PMMA
Poly(vinyl chloride) plastics+polyurethane;PVC+PUR
Polyamide (amorphous) blend;PA+
Polyamide plastics+ethylene-methacrylic acid (ionomer);PA+EMA
Polyamide+poly(phenylene ether);PA+PPE
Polyamide+polyethylene;PA+PE
Polyamide+rubber;PA+RBR
Polyamide+styrene-acrylonitrile plastics;PA+SAN
Polycarbonate+poly(butylene terephthalate);PC+PBT
Polycarbonate+poly(butylene terephthalate);PC+PBT
Polycarbonate+poly(ethylene terephthalate);PC+PET6
Polycarbonate+polyethylene;PC+PE
Polycarbonate+styrene-maleic anhydride;PC+SMA
Polycarbonate+thermoplastic polyurethane;PC+TPU
Polyoxymethylene+polytetrafluoroethylene;POM+PTFE
Polyoxymethylene+rubber;POM+RBR
Polyurethane+polyisocyanate;PUR+PIR
Styrene-maleic anhydride plastics+impact resistant polystyrene;SMA+IPS
Thermoplastic elastomer-chlorinated ethylene alloy;TECEA
Alkylsulfonic acid ester;ASE
Benzyl butyl phthalate;BBP
Benzyl octyl adipate;BOA
Benzyl 2-ethylhexyl adipate;BOA
Benzyl octyl phthalate;BOP
Benzyl 2-ethylhexyl phthalate;BOP
Di-n-octyl phthalate;DNOP
Dibutylphthalate;DBP
Dibutyl sebacate;DBS
Dicapryl phthalate;DCP
Dicylohexyl phthalate;DCHP
Didecyl phthalate;DDP
Diethyl phthalate;DEP
Diheptyl phthalate;DHP
Dihexyl phthalate;DHXP
Diisobutyl phthalate;DIBP
Diisodecyl adipate;DIDA
Diisodecyl phthalate;DIDP
Diisoheptyl phthalate;DIHP
Diisohexyl phthalate;DIHXP
Diisononyl adipate;DINA
Diisononyl phthalate;DINP
Diisooctyl adipate;DIOA
Diisooctyl phthalate;DIOP
Diisopentyl phthalate;DIPP
Diisotridecyl phthalate;DITDP
Dimethyl phthalate;DMP
Dinonyl phthalate;DNP
Dioctyl adipate;DOA
Dioctyl azelate;DOZ
Dioctyl isophthalate;DOIP
Di-2-ethylhexyl isophthalate;DOIP
Dioctyl phthalate;DOP
Dioctyl sebacate;DOS
Dioctyl terephthalate;DOTP
Di-2-ethylhexyl terephthalate;DOTP
Diphenyl octyl phosphate;DPOF
Diphenyl cresyl phosphate;DPCF
Diphenyl 2-ethylhexyl phosphate;DPOF
Diundecyl phthalate;DUP
Epoxidized linseed oil;ELO
Epoxidized soya bean oil;ESO
Heptyl nonyl undecyl adipate;HNUA
Heptyl nonyl undecyl phthalate;HNUP
Hexyl octyl decyl adipate;HXODA
Hexyl octyl decyl phthalate;HXODP
n-Octyl decyl trimellitate;ODTM
Nonyl undecyl adipate;NUA
Nonyl undecyl phthalate;NUP
Octyl decyl adipate;ODA
Octyl decyl phthalate;ODP
Tetraoctyl pyromellitate;TOPM
Tetra-2-ethylhexylpyromellitate;TOPM
Trichloroethyl phosphate;TCEF
Tricresyl phosphate;TCF
Tritolyl phosphate;TCF
Triheptyl trimellitate;THTM
Triisooctyl trimellitate;TIOTM
Trioctyl phosphate;TOF
Trioctyl trimellitate;TOTM
Tri-2-ethylhexyl trimellitate;TOTM
Triphenyl phosphate;TPP
Trixylyl phosphate;TXF
Adipic acid;AA
Allyl diglycol carbonate;ADC
Butanediol;BD
Chlorotrifluoroethylene;CTFE
Diallyl chlorendate (diallyl ester of 1,4,5,6,7,7-hexachlorobicyclo-(2,2,1)-5-heptene-2,3-dicarboxylic acid);DAC
Diallyl fumarate;DAF
Diallyl isophthalate;DAIP
Diallyl maleate;DAM
Diallyl phthalate (diallyl orthophthalate);DAP
Ethylene;ET
Ethylene Glycol;EG
Lactic acid;LA
Methyl methacrylate;MMA
Propylene;PR
Succinic acid;SA
p-Terephthalic acid;PTA
Tetrafluoroethylene;TFE
Triallyl cyanurate;TAC
Acrylonitrile-butadiene-acrylate plastics+poly(methyl methacrylate);ABA+PMMA
Acrylonitrile-butadiene-acrylate plastics+poly(vinyl chloride);ABA+PVC
Acrylonitrile-butadiene-acrylate plastics+polycarbonate;ABA+PC
Acrylonitrile-butadiene-acrylate plastics;ABA
Acrylonitrile-butadiene-styrene plastics+poly(vinyl chloride);ABS+PVC
Acrylonitrile-butadiene-styrene plastics+polyphenylene sulfone;ABS+PPSU
Acrylonitrile-butadiene-styrene plastics+polytetrafluoroethylene;ABS+PTFE
Acrylonitrile-butadiene-styrene plastics+styrene maleic anhydride;ABS+SMA
Acrylonitrile-butadiene-styrene plastics+thermoplastic polyurethane;ABS+TPU
Acrylonitrile/butadiene plastics;AB
Acrylonitrile-butadiene-styrene plastics+polyamide;ABS+PA
Acrylonitrile-butadiene-styrene plastics+polycarbonate;ABS+PC
Acrylonitrile-chlorinated polyethylene-styrene plastics;ACPES
Acrylonitrile-ethylene-styrene plastics;AES
Acrylonitrile-methyl acrylate-acrylonitrile-butadiene rubber;AMAB
Acrylonitrile-methyl methacrylate plastics;AMMA
Acrylonitrile-styrene-acrylate plastics+poly(methyl methacrylate);ASA+PMMA
Acrylonitrile-styrene-acrylate plastics+poly(vinyl chloride);ASA+PVC
Acrylonitrile-styrene-acrylate plastics;ASA
Acrylonitrile-styrene-acrylate plastics+polycarbonate;ASA+PC
Acrylonitrile/ethylene-propylene-diene/styrene plastics;AEPDMS
Adipic Acid;AA
Alkylsulfonic acid ester;ASE
Allyl diglycol carbonate;ADC
Aromatic polyester;ARP
Benzyl butyl phthalate;BBP
Benzyl octyl adipate (benzyl 2-ethylhexyl adipate);BOA
Benzyl octyl phthalate (benzyl 2-ethylhexyl phthalate);BOP
Butanediol;BD
Carboxymethyl cellulose;CMC
Casein;CS
Caseine-formaldehyde resin;CSF
Cellulose acetate;CA
Cellulose acetate-butyrate;CAB
Cellulose acetate-propionate;CAP
Cellulose formaldehyde;CEF
Cellulose nitrate;CN
Cellulose plastics, general;CE
Cellulose propionate;CP
Cellulose triacetate;CTA
Chlorinated poly(vinyl chloride);CPVC
Chlorinated polyethylene;CPE
Chlorotrifluoroethylene;CTFE
Cresol-formaldehyde resin;CF
Di-n-octyl phthalate;DNOP
Diallyl chlorendate (diallyl ester of 1,4,5,6,7,7-hexachlorobicyclo-(2,2,1)-5-heptene-2,3-dicarboxylic acid);DAC
Diallyl fumarate;DAF
Diallyl isophthalate;DAIP
Diallyl maleate;DAM
Diallyl phthalate (diallyl orthophthalate);DAP
Dibutyl phthalate;DBP
Dibutyl sebacate;DBS
Dicapryl phthalate;DCP
Dicyclohexyl phthalate;DCHP
Didecyl phthalate;DDP
Diethyl phthalate;DEP
Diheptyl phthalate;DHP
Dihexyl phthalate;DHXP
Diisobutyl phthalate;DIBP
Diisodecyl adipate;DIDA
Diisodecyl phthalate;DIDP
Diisoheptyl phthalate;DIHP
Diisohexyl phthalate;DIHXP
Diisononyl adipate;DINA
Diisononyl phthalate;DINP
Diisooctyl adipate;DIOA
Diisooctyl phthalate;DIOP
Diisopentyl phthalate;DIPP
Diisotridecyl phthalate;DITDP
Dimethyl phthalate;DMP
Dinonyl phthalate;DNP
Dioctyl adipate;DOA
Dioctyl azelate;DOZ
Dioctyl isophthalate (di-2-ethylhexyl isophthalate);DOIP
Dioctyl phthalate;DOP
Dioctyl sebacate;DOS
Dioctyl terephthalate (di-2-ethylhexyl terephthalate);DOTP
Diphenyl 2-ethylhexyl phosphate;DPOF
Diphenyl cresyl phosphate;DPCF
Diphenyl octyl phosphate;DPOF
Diundecyl phthalate;DUP
Epoxidized linseed oil;ELO
Epoxidized soya bean oil;ESO
Epoxy, epoxide;EP
Ethyl cellulose;EC
Ethylene;ET
Ethylene acrylate;EA
Ethylene-chlorotrifluoroethylene copolymer;E-CTFE
Ethylene-ethyl acrylate plastics;EEA
Ethylene Glycol;EG
Ethylene-methacrylic acid plastics;EMA
Ethylene-propylene polymer;EPM
Ethylene-propylene-diene plastics;EPD
Ethylene-tetrafluoroethylene copolymer;ETFE
Ethylene-vinyl acetate plastics;EVA
Ethlene-vinyl alcohol copolymer;EVOH
Fluorocarbon perfluoromethoxy;MPA
Fully crosslinked elastomeric alloy;FCEA
Furan-formaldehyde resin;FF
General purpose;GP
General purpose polystyrene;GPPS
Heptyl nonyl undecyl adipate;HNUA
Heptyl nonyl undecyl phthalate;HNUP
Hexyl octyl decyl adipate;HXODA
Hexyl octyl decyl phthalate;HXODP
High density polyethylene plastics;HDPE
High impact-resistant polystyrene;HIPS
Homopolymer polypropylene;HPP
Impact copolymer polypropylene;CPP
Impact resistant polystyrene;IPS
Lactic acid;LA
Linear low density polyethylene plastics;LLDPE
Linear medium density polyethylene plastics;LMDPE
Liquid crystal polymer;LCP
Low density polyethylene plastics;LDPE
