;Column1;word;count;pertinence;materials
45;45;pan;77;0;1.0
79;79;pcl;52;0;1.0
100;100;pvp;44;0;1.0
101;101;pla;44;0;1.0
159;159;chitosan;32;0;1.0
185;185;sio;29;0;1.0
189;189;gelatin;28;0;1.0
204;204;powder;26;0;1.0
236;236;nanoparticl;22;1;1.0
244;244;sodium;21;0;1.0
255;255;fe;21;0;1.0
257;257;lithium;20;0;1.0
259;259;particl;20;0;1.0
261;261;collagen;20;0;1.0
268;268;nhap;20;0;1.0
269;269;ps;20;0;1.0
270;270;ceram;20;0;1.0
276;276;polyacrylonitril;19;0;1.0
280;280;protein;19;0;1.0
313;313;peo;17;0;1.0
315;315;starch;17;0;1.0
342;342;graphen;15;0;1.0
371;371;viabil;14;0;1.0
380;380;phb;14;0;1.0
387;387;pmma;14;0;1.0
402;402;ti;13;0;1.0
410;410;fs;13;0;1.0
414;414;isol;13;0;1.0
417;417;pp;13;0;1.0
419;419;nylon;13;0;1.0
420;420;fb;13;0;1.0
422;422;cf;12;0;1.0
426;426;polycaprolacton;12;0;1.0
434;434;glycol;12;0;1.0
444;444;caprolacton;12;0;1.0
450;450;ga;12;0;1.0
451;451;sci;12;0;1.0
452;452;pcm;12;0;1.0
453;453;tin;12;0;1.0
458;458;pva;11;0;1.0
465;465;polyurethan;11;0;1.0
467;467;ethanol;11;0;1.0
471;471;amylopectin;11;0;1.0
473;473;pdlla;11;0;1.0
481;481;zno;11;0;1.0
483;483;cytotox;11;0;1.0
485;485;wiley;11;0;1.0
488;488;alumina;11;0;1.0
489;489;cl;11;0;1.0
497;497;polyvinyl;10;0;1.0
498;498;alcohol;10;0;1.0
508;508;lactic;10;0;1.0
513;513;vinyl;10;0;1.0
531;531;phosphat;9;0;1.0
532;532;silver;9;0;1.0
535;535;polyvinylpyrrolidon;9;0;1.0
541;541;fibroblast;9;0;1.0
548;548;cotton;9;0;1.0
558;558;soy;9;0;1.0
562;562;titanium;9;0;1.0
566;566;polystyren;9;0;1.0
567;567;agnp;9;0;1.0
584;584;ethylen;8;0;1.0
592;592;dimethylformamid;8;0;1.0
593;593;dmf;8;0;1.0
604;604;pyrrolidon;8;0;1.0
606;606;dichloromethan;8;0;1.0
608;608;osteogen;8;0;1.0
635;635;inorgan;8;0;1.0
636;636;steam;8;0;1.0
640;640;mgo;8;0;1.0
643;643;cnf;8;0;1.0
648;648;tcp;7;0;1.0
652;652;chlorid;7;0;1.0
658;658;sb;7;0;1.0
666;666;nitrogen;7;0;1.0
671;671;polylact;7;0;1.0
680;680;osteoblast;7;0;1.0
695;695;glass;7;0;1.0
708;708;pcmf;7;0;1.0
709;709;salt;7;0;1.0
710;710;polypropylen;7;0;1.0
718;718;paa;7;0;1.0
723;723;mwcnt;7;0;1.0
727;727;methacryl;7;0;1.0
731;731;cnt;7;0;1.0
732;732;nss;7;0;1.0
736;736;nanocomposit;6;0;1.0
755;755;acet;6;0;1.0
758;758;pu;6;0;1.0
762;762;amylos;6;0;1.0
764;764;pc;6;0;1.0
810;810;cvd;6;0;1.0
811;811;plla;6;0;1.0
814;814;terephthal;6;0;1.0
820;820;methyl;6;0;1.0
830;830;pda;5;0;1.0
847;847;phosphatas;5;0;1.0
867;867;melanocyt;5;0;1.0
884;884;hmp;5;0;1.0
892;892;sic;5;0;1.0
893;893;pvam;5;0;1.0
938;938;pcnf;5;0;1.0
940;940;acetonitril;5;0;1.0
986;986;plga;4;0;1.0
1028;1028;nfm;4;0;1.0
1040;1040;psan;4;0;1.0
1043;1043;polyimid;4;0;1.0
1044;1044;gpa;4;0;1.0
1047;1047;thf;4;0;1.0
1048;1048;cellulos;4;0;1.0
1051;1051;dehpa;4;0;1.0
1054;1054;keratin;4;0;1.0
1072;1072;calcium;4;0;1.0
1076;1076;tannin;4;0;1.0
1079;1079;rgo;4;0;1.0
1080;1080;lignin;4;0;1.0
1088;1088;chloroform;4;0;1.0
1090;1090;sph;4;0;1.0
1092;1092;melamin;4;0;1.0
1099;1099;phbv;4;0;1.0
1102;1102;lyophilis;4;0;1.0
1105;1105;thiol;4;0;1.0
1106;1106;ene;4;0;1.0
1113;1113;zirconia;4;0;1.0
1120;1120;pcf;3;0;1.0
1134;1134;filler;3;0;1.0
1160;1160;hydroxyapatit;3;0;1.0
1163;1163;kpa;3;0;1.0
1164;1164;hydroxybutyr;3;0;1.0
1172;1172;copolym;3;0;1.0
1180;1180;phytoestrogen;3;0;1.0
1190;1190;cyanex;3;0;1.0
1206;1206;acetylaceton;3;0;1.0
1220;1220;cn;3;0;1.0
1227;1227;bicompon;3;0;1.0
1262;1262;silk;3;0;1.0
1274;1274;allyloxi;3;0;1.0
1287;1287;hmsc;3;0;1.0
1314;1314;thermoplast;3;1;1.0
1381;1381;pectin;3;0;1.0
1386;1386;methanol;3;0;1.0
1387;1387;pin;3;0;1.0
1431;1431;vinyliden;2;0;1.0
1433;1433;pvdf;2;0;1.0
1466;1466;prp;2;0;1.0
1475;1475;nanohydroxyapatit;2;0;1.0
1500;1500;rhb;2;0;1.0
1540;1540;acrylonitril;2;0;1.0
1543;1543;hpb;2;0;1.0
1547;1547;bpo;2;0;1.0
1552;1552;kevlar;2;0;1.0
1557;1557;ethyl;2;0;1.0
1560;1560;aminosilan;2;0;1.0
1571;1571;tetrahydrofuran;2;0;1.0
1610;1610;enzym;2;0;1.0
1619;1619;ket;2;0;1.0
1620;1620;trifluoroacet;2;0;1.0
1630;1630;polyhydroxybutyr;2;0;1.0
1635;1635;tpu;2;0;1.0
1686;1686;olanzapin;2;0;1.0
1687;1687;olz;2;0;1.0
1705;1705;keratinocyt;2;0;1.0
1729;1729;triterpenoid;2;0;1.0
1749;1749;oligosaccharid;2;0;1.0
1759;1759;polyolefin;2;0;1.0
1776;1776;aminopropyltriethoxysilan;2;0;1.0
1791;1791;pza;2;0;1.0
1802;1802;hydroxyethyl;2;0;1.0
1844;1844;polydopamin;1;0;1.0
1848;1848;hdf;1;0;1.0
1849;1849;gfp;1;0;1.0
1854;1854;uranyl;1;0;1.0
1857;1857;carboxymethyl;1;0;1.0
1863;1863;vinylpyrrolidon;1;0;1.0
1888;1888;lactid;1;0;1.0
1889;1889;glycolid;1;0;1.0
1890;1890;polyisopren;1;0;1.0
1930;1930;polyoxyethylen;1;0;1.0
1985;1985;phenylamino;1;0;1.0
1986;1986;dipentylamino;1;0;1.0
1987;1987;methylspiro;1;0;1.0
1992;1992;methoxystyryl;1;0;1.0
1993;1993;trichloromethyl;1;0;1.0
1994;1994;triazin;1;0;1.0
2021;2021;polytetrafluoroethylen;1;0;1.0
2022;2022;ptfe;1;0;1.0
2023;2023;polysulfid;1;0;1.0
2052;2052;vinylamin;1;0;1.0
2079;2079;biphenyl;1;0;1.0
2080;2080;tetracarboxyl;1;0;1.0
2081;2081;dianhydrid;1;0;1.0
2082;2082;bpda;1;0;1.0
2083;2083;phenylenediamin;1;0;1.0
2084;2084;oxydianilin;1;0;1.0
2091;2091;ciprofloxacin;1;0;1.0
2092;2092;tetrabutoxid;1;0;1.0
2093;2093;propytrimethoxysilan;1;0;1.0
2101;2101;carboxyl;1;0;1.0
2113;2113;dimethylthiazol;1;0;1.0
2115;2115;diphenyltetrazolium;1;0;1.0
2142;2142;ethylhexyl;1;0;1.0
2156;2156;polyvinylepyrrolidon;1;0;1.0
2287;2287;polyamid;1;0;1.0
2289;2289;vinylalcohol;1;0;1.0
2391;2391;aramid;1;0;1.0
2524;2524;fructooligosaccharid;1;0;1.0
2526;2526;inulooligosaccharid;1;0;1.0
2542;2542;polyisobutylen;1;0;1.0
2571;2571;polymethylmethacryl;1;0;1.0
2697;2697;acetylacetonatotitanium;1;0;1.0
2759;2759;polysaccharid;1;0;1.0
